pan_id,date,season,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,sunshine_hours,water_depth_cm,brine_density_be,salt_thickness_mm,days_since_last_rain,precipitation_7d_forecast_mm,precipitation_probability_pct,next7d_rain_mm,harvest_readiness,climate_risk,harvest_ready_flag,yield_kg,action_recorded,area_m2,latitude,longitude
PAN-1,2021-01-01,other,26.79,66.48,28.16,0.0,7.43,13.33,3.68,0.0,13,39.32,46.6,47.65,0.0,0.3356,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-02,other,25.84,84.49,22.38,0.0,7.71,13.08,3.75,0.0,14,24.79,23.9,25.42,0.0,0.2568,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-03,other,23.32,77.31,27.47,0.97,9.94,12.68,3.87,0.0,15,60.46,56.5,54.38,0.0,0.4118,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-04,other,25.34,77.62,25.35,1.3,9.8,12.4,3.96,0.0,0,6.73,9.7,6.86,0.0,0.0993,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-05,other,26.93,67.12,28.16,38.11,8.48,15.52,3.5,0.0,0,47.51,44.9,41.57,0.0192,0.2386,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-06,other,28.38,78.09,23.97,0.0,9.86,15.06,3.61,0.0,1,22.71,27.4,26.43,0.0604,0.2536,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-07,other,25.55,67.99,29.13,0.0,8.69,14.42,3.77,0.0,2,69.58,90.1,96.26,0.0,0.613,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-08,other,28.17,76.21,32.61,0.0,10.1,13.78,3.95,0.0,3,35.35,31.9,30.51,0.0,0.3031,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-09,other,26.4,83.19,31.66,22.81,9.05,15.68,3.5,0.0,0,43.43,62.0,46.46,0.0174,0.3314,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-10,other,27.93,64.58,29.46,0.0,9.28,14.84,3.7,0.0,1,40.72,48.8,44.18,0.0075,0.2713,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-11,other,27.07,77.44,27.56,0.0,7.6,14.39,3.82,0.0,2,68.45,73.7,73.95,0.0,0.5278,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-12,other,29.75,68.41,21.99,38.76,8.16,17.64,3.5,0.0,0,30.26,40.0,32.11,0.0599,0.2378,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-13,other,26.63,77.96,31.12,14.13,6.21,18.6,3.5,0.0,0,70.38,62.1,66.27,0.0,0.4962,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-14,other,26.95,68.69,40.73,0.0,10.61,17.63,3.69,0.0,1,40.8,40.6,39.76,0.0,0.326,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-15,other,26.69,71.43,34.19,8.03,8.48,17.74,3.67,0.0,0,42.46,32.8,38.61,0.0,0.2762,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-16,other,27.61,77.78,29.3,0.0,9.27,17.22,3.78,0.0,1,56.06,67.9,57.2,0.0,0.4539,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-17,other,27.38,76.34,33.72,0.0,10.56,16.58,3.93,0.0,2,50.08,49.4,46.02,0.0253,0.2862,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-18,other,28.49,73.65,32.1,20.64,8.6,17.97,3.63,0.0,0,35.73,38.6,39.84,0.0217,0.2661,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-19,other,28.79,67.01,33.53,0.0,12.05,16.96,3.85,0.0,1,63.41,74.3,73.03,0.0,0.5024,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-20,other,30.45,81.51,40.58,0.0,7.72,16.33,4.0,0.0,2,47.41,52.8,55.28,0.0,0.3447,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-21,other,26.43,69.49,44.72,0.0,8.59,15.4,4.24,0.0,3,69.41,68.9,66.15,0.0,0.521,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-22,other,29.62,71.36,37.36,0.0,8.4,14.51,4.5,0.0,4,50.2,53.6,67.88,0.0318,0.5097,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-23,other,28.86,65.96,35.23,12.99,8.31,14.85,4.4,0.0,0,52.06,72.4,59.42,0.0131,0.4119,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-24,other,30.16,74.32,34.49,0.0,7.49,14.11,4.63,0.0,1,67.1,68.2,67.17,0.0,0.6133,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-25,other,25.79,83.72,41.13,32.54,8.41,16.93,3.86,0.0,0,108.39,72.9,86.61,0.0,0.6753,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-26,other,29.53,78.62,36.24,0.0,9.95,16.25,4.02,0.0,1,48.43,59.0,54.73,0.0,0.3698,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-27,other,31.55,72.62,39.24,5.77,6.76,15.9,4.11,0.0,0,27.63,32.1,26.61,0.0631,0.1696,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-28,other,28.82,82.12,41.0,4.65,9.15,15.77,4.14,0.0,0,39.88,39.9,36.58,0.0955,0.2365,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-29,other,28.84,86.5,40.75,7.89,8.0,16.13,4.05,0.0,0,14.26,14.2,14.46,0.0051,0.1102,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-30,other,28.18,77.86,30.65,1.06,10.33,15.66,4.17,0.0,0,86.02,60.0,64.33,0.0029,0.4175,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-01-31,other,32.3,81.13,37.17,7.8,9.82,15.72,4.15,0.0,0,61.0,60.9,58.11,0.0035,0.4505,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-01,summer,28.87,83.3,32.34,6.47,7.3,15.95,4.09,0.0,0,76.46,70.2,80.82,0.0,0.6436,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-02,summer,30.52,71.68,38.35,0.0,9.05,14.98,4.35,0.0,1,13.21,19.4,15.44,0.0,0.1544,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-03,summer,28.39,70.31,34.83,0.0,9.6,14.14,4.61,0.0,2,99.56,85.3,100.4,0.0,0.6183,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-04,summer,24.96,73.23,33.74,0.0,8.43,13.56,4.81,0.0,3,57.92,62.4,56.84,0.0311,0.426,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-05,summer,28.9,66.96,37.38,0.0,9.79,12.53,5.21,0.0,4,16.85,17.0,16.22,0.0,0.164,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-06,summer,31.37,73.16,40.36,4.55,8.09,12.01,5.43,0.0,0,19.7,28.5,25.34,0.0006,0.2035,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-07,summer,28.49,66.68,34.41,10.93,8.3,12.2,5.34,0.0,0,11.09,24.5,11.16,0.0,0.1125,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-08,summer,31.27,53.3,39.02,8.69,9.57,12.0,5.62,0.0,0,82.37,68.5,70.75,0.0198,0.5447,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-09,summer,29.64,72.29,43.57,9.37,8.92,12.0,5.64,0.0,0,65.42,51.4,68.33,0.0202,0.4748,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-10,summer,30.33,68.32,33.25,0.0,7.28,12.0,5.9,0.0,1,48.23,53.7,46.68,0.0,0.3644,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-11,summer,31.38,61.58,36.99,0.0,12.26,12.0,6.34,0.0,2,17.08,17.0,15.56,0.0306,0.1089,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-12,summer,32.42,83.29,33.21,0.0,8.51,12.0,6.5,0.0,3,37.25,53.0,38.7,0.0,0.3311,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-13,summer,27.53,66.48,31.6,9.13,10.02,12.07,6.46,0.0,0,10.95,17.8,9.53,0.0,0.1574,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-14,summer,29.68,76.51,32.6,16.84,8.65,13.1,5.95,0.0,0,22.69,18.7,25.99,0.0515,0.1773,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-15,summer,30.72,61.91,33.61,5.35,8.3,12.49,6.24,0.0,0,33.2,36.3,33.66,0.0283,0.2677,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-16,summer,28.8,64.38,32.37,21.46,9.06,13.68,5.7,0.0,0,60.21,59.7,62.03,0.0,0.5982,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-17,summer,31.95,61.47,33.5,20.98,10.17,14.45,5.4,0.0,0,44.53,31.6,34.27,0.0392,0.3241,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-18,summer,29.26,67.5,30.73,0.0,9.62,13.58,5.75,0.0,1,18.92,26.6,18.26,0.0057,0.1457,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-19,summer,30.55,57.64,32.34,17.11,10.21,13.98,5.58,0.0,0,14.2,16.2,14.92,0.0657,0.2058,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-20,summer,31.29,60.6,29.6,0.0,11.34,12.75,6.12,0.0,1,75.94,55.2,59.01,0.0,0.3852,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-21,summer,35.53,67.67,28.24,0.0,10.28,12.0,6.63,0.0,2,5.1,9.9,5.71,0.008,0.0606,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-22,summer,32.31,64.86,32.56,14.77,9.11,12.32,6.46,0.0,0,49.74,45.6,40.06,0.0,0.2893,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-23,summer,32.93,67.83,28.13,12.34,8.32,12.61,6.31,0.0,0,41.98,36.1,43.35,0.0,0.3355,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-24,summer,32.6,63.58,30.51,8.75,8.31,12.36,6.44,0.0,0,32.11,45.2,36.61,0.0187,0.2258,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-25,summer,33.89,74.56,31.17,0.0,9.73,12.0,6.79,0.0,1,39.94,58.4,59.6,0.0,0.4088,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-26,summer,33.75,55.85,25.81,0.35,7.14,12.0,7.14,0.0,2,50.52,53.0,48.86,0.0026,0.3422,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-27,summer,31.42,57.47,25.71,4.24,9.34,12.0,7.34,0.0,0,0.0,11.9,0.13,0.0,0.0,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-02-28,summer,31.48,58.11,26.46,0.0,8.97,12.0,7.66,0.0,1,0.57,8.8,0.0,0.0491,0.0404,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-01,summer,31.87,63.16,20.54,0.0,10.27,12.0,7.91,0.0,2,7.46,24.7,9.66,0.0375,0.0291,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-02,summer,31.62,62.55,25.94,0.0,10.61,12.0,8.21,0.0,3,6.46,13.6,6.51,0.0263,0.0484,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-03,summer,32.32,51.85,16.66,21.87,7.64,13.31,7.4,0.0,0,17.35,12.5,18.72,0.0136,0.178,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-04,summer,33.34,43.83,24.83,6.9,12.28,12.25,8.04,0.0,0,44.65,58.1,50.23,0.0252,0.4217,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-05,summer,34.56,47.76,20.98,0.0,8.49,12.0,8.52,0.0,1,22.26,31.8,24.09,0.0055,0.1832,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-06,summer,30.62,53.34,15.86,0.0,13.0,12.0,8.78,0.0,2,10.39,17.9,9.66,0.0099,0.0696,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-07,summer,33.85,70.52,18.42,0.0,9.61,12.0,8.98,0.0,3,13.32,28.9,15.02,0.073,0.0825,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-08,summer,32.08,50.02,26.25,3.88,10.99,12.0,9.29,0.0,0,0.0,2.2,0.0,0.0857,0.0311,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-09,summer,31.36,58.86,19.43,0.0,10.1,12.0,9.55,0.0,1,10.74,13.9,10.37,0.0563,0.1275,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-10,summer,35.06,42.67,17.71,0.0,9.83,12.0,9.95,0.0,2,33.44,32.9,36.77,0.0302,0.3104,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-11,summer,34.89,49.84,17.49,0.0,10.95,12.0,10.31,0.0,3,1.02,4.0,0.0,0.0118,0.0556,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-12,summer,32.53,51.38,18.91,4.94,9.38,12.0,10.47,0.0,0,0.12,10.2,0.0,0.0,0.0,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-13,summer,31.47,38.52,12.39,0.0,10.3,12.0,10.75,0.0,1,3.56,10.5,3.6,0.0,0.0538,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-14,summer,32.86,43.25,19.77,0.0,9.57,12.0,11.13,0.0,2,0.02,4.8,0.51,0.0451,0.0922,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-15,summer,31.94,38.34,10.66,1.99,10.48,12.0,11.33,0.0,0,1.05,10.8,1.19,0.0,0.0,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-16,summer,33.12,46.1,16.63,0.0,10.78,12.0,11.67,0.0,1,9.03,18.7,8.72,0.0,0.0939,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-17,summer,35.84,50.15,13.42,0.0,10.29,12.0,11.98,0.0,2,32.9,29.3,29.8,0.0,0.2049,0,0.0,,2400.0,8.7642,78.1348
