pan_id,date,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,sunshine_hours,water_level_cm,brine_density_be,salt_thickness_mm,days_since_last_rain
PAN-1,2024-04-01,32.5,55,11.5,0.0,9.5,8.2,23.2,10.5,12
PAN-1,2024-04-02,33.0,52,10.1,0.0,10.0,8.1,23.4,10.8,13
PAN-1,2024-04-03,28.0,78,18.4,14.2,4.2,10.5,19.8,8.2,0
PAN-1,2024-04-04,30.5,62,12.6,1.5,7.8,10.2,20.5,8.5,1
PAN-1,2024-04-05,33.5,48,9.0,0.0,10.5,10.0,21.2,9.0,2
PAN-2,2024-04-01,32.0,58,10.8,0.0,9.0,6.5,24.8,12.0,8
PAN-2,2024-04-02,32.5,55,9.4,0.0,9.8,6.4,25.1,12.3,9
PAN-2,2024-04-03,27.5,80,19.8,18.0,3.5,9.2,20.5,9.0,0
PAN-2,2024-04-04,30.0,64,13.7,2.2,7.2,9.0,21.0,9.4,1
PAN-2,2024-04-05,33.0,50,8.3,0.0,10.2,8.8,21.8,9.8,2
PAN-3,2024-04-01,31.5,60,10.4,0.0,8.8,7.0,25.8,14.0,5
PAN-3,2024-04-02,32.0,57,9.7,0.0,9.5,6.9,26.1,14.3,6
PAN-3,2024-04-03,28.5,75,17.3,11.5,5.0,8.8,22.0,11.0,0
PAN-3,2024-04-04,31.0,60,11.9,1.0,8.2,8.6,22.5,11.4,1
PAN-3,2024-04-05,33.0,49,8.6,0.0,10.0,8.4,23.2,11.8,2
